#id,nodeRole,nodeType,nodeSymbol,idPhy,nodeName,net,cell,nameHW,macAddr,typeDev
n1,tokendefault,iniziatore,area,n1,Ancora di riferimento,elux,campus,DW4632,E4:0D:E7:0D:CA:CF,decawave
n2,tokendefault,ancora,area,n2,Ancora 1,elux,campus,DW5539,C2:CA:19:D5:96:1C,decawave
n3,tokendefault,ancora,area,n3,Ancora 2,elux,campus,DW80A9,E0:9D:12:C6:F4:39,decawave
n4,tokendefault,ancora,area,n4,Ancora 3,elux,campus,DWC98E,DC:EE:F2:C0:C1:9C,decawave
n5,tokendefault,ancora,area,n5,Ancora 4,elux,campus,DWCCA2,E2:4E:C3:0B:02:B4,decawave
n6,tokendefault,tag,operatore,n6,Utente 1,elux,campus,DWD537,c6:d6:37:d1:08:42,decawave
n7,tokendefault,tag,operatore,n7,Utente 2,elux,campus,DW8615,e3:3a:13:b2:5f:56,decawave
n8,tokendefault,tag,operatore,n8,Utente 3,elux,campus,DWDA91,DB:C0:66:48:F0:34,decawave
n9,tokendefault,tag,operatore,n9,Utente 4,elux,campus,DWCD1B,d1:4a:06:91:6c:76,decawave
